model_name,split,profession,P(gb),P(sp)
base_model,validation,soldier,0.5543843036635628,0.567733985316248
base_model,validation,engineer,0.4073226296450765,0.5093200850028284
base_model,validation,social worker,0.2179319022004218,0.4095781059278285
base_model,validation,florist,0.0802324428839389,0.4335337880766019
base_model,validation,lawyer,0.2167369360720519,0.4776426447377376
base_model,validation,journalist,0.1701267192667514,0.4323275305351297
base_model,test,firefighter,0.3602797359096311,0.4605647243143347
base_model,test,mechanic,0.4091571008141139,0.4688089905787766
base_model,test,makeup artist,0.4053899266976206,0.4931740151334773
base_model,test,nurse,0.5193855445489616,0.5422849888324409
base_model,test,artist,0.1444760452997049,0.4110015722553191
base_model,test,doctor,0.294447798624306,0.4428439425058005
mlp_mod_500,validation,soldier,0.0277258764185449,0.3788103575763457
mlp_mod_500,validation,engineer,0.0306077549124465,0.3742627219899612
mlp_mod_500,validation,social worker,0.0084978175513884,0.3813173389610122
mlp_mod_500,validation,florist,0.0136729462948792,0.3790895189980374
mlp_mod_500,validation,lawyer,0.0102216784349259,0.3785985123146982
mlp_mod_500,validation,journalist,0.0097733944216195,0.3721251620308441
mlp_mod_500,test,firefighter,0.0152661420733613,0.384566591340391
mlp_mod_500,test,mechanic,0.0462848716141546,0.3885696145760662
mlp_mod_500,test,makeup artist,0.0232800118186894,0.379259982091539
mlp_mod_500,test,nurse,0.0393734202336739,0.3996119294863413
mlp_mod_500,test,artist,0.010881797520115,0.3730895860558924
mlp_mod_500,test,doctor,0.0216067531967864,0.39791583872455
mlp_mod_1000,validation,soldier,0.075415398377706,0.4173394122763592
mlp_mod_1000,validation,engineer,0.0503627238247324,0.427546499954427
mlp_mod_1000,validation,social worker,0.0280362770837896,0.4245933193494292
mlp_mod_1000,validation,florist,0.0246897121781811,0.4232514681404127
mlp_mod_1000,validation,lawyer,0.0281510893803309,0.4321333051056546
mlp_mod_1000,validation,journalist,0.0104358058751505,0.4281364820130607
mlp_mod_1000,test,firefighter,0.0389757104327573,0.4195620247217662
mlp_mod_1000,test,mechanic,0.0802835184971199,0.4260336427456316
mlp_mod_1000,test,makeup artist,0.0107198652318295,0.4001612666556063
mlp_mod_1000,test,nurse,0.0342296580510104,0.4379721353487933
